player,strat,wins,total_matches,winrate
umachan,AH,0,1,0
umachan,AK,0,1,0
umachan,AR,0,1,0
umachan,AW,0,4,0
umachan,BK,3,7,0.428571429
umachan,BM,2,4,0.5
umachan,BR,1,1,1
umachan,GK,0,1,0
umachan,GM,1,5,0.2
umachan,GR,1,1,1
umachan,HK,2,6,0.333333333
umachan,KM,1,4,0.25
umachan,KR,2,4,0.5
umachan,KW,4,10,0.4
umachan,MR,1,5,0.2
umachan,MW,4,10,0.4
versatile,AH,0,2,0
versatile,AK,1,1,1
versatile,AM,0,1,0
versatile,AR,1,1,1
versatile,BH,0,1,0
versatile,BK,1,1,1
versatile,GM,0,1,0
versatile,HK,1,2,0.5
versatile,KR,0,1,0
versatile,MR,13,19,0.684210526
versatile,RW,0,2,0
vinl,AB,0,1,0
vinl,AH,1,2,0.5
vinl,AK,0,1,0
vinl,AW,0,1,0
vinl,BG,1,3,0.333333333
vinl,BH,2,3,0.666666667
vinl,BK,1,1,1
vinl,BM,1,1,1
vinl,BW,1,3,0.333333333
vinl,GH,4,6,0.666666667
vinl,GK,0,2,0
vinl,GR,8,13,0.615384615
vinl,GW,2,7,0.285714286
vinl,HK,0,2,0
vinl,HM,0,1,0
vinl,HW,2,4,0.5
vinl,KR,1,1,1
vinl,KW,1,2,0.5
vinl,MW,0,2,0
walshy1066,AR,7,13,0.538461538
walshy1066,AW,0,3,0
walshy1066,BG,0,2,0
walshy1066,BM,2,3,0.666666667
walshy1066,BR,0,1,0
walshy1066,BW,0,2,0
walshy1066,GM,1,1,1
walshy1066,GR,6,11,0.545454545
walshy1066,GW,1,1,1
walshy1066,HR,0,1,0
walshy1066,KR,3,6,0.5
walshy1066,KW,1,2,0.5
walshy1066,MR,19,30,0.633333333
wasyl2001,AR,2,2,1
whiplash,AB,0,2,0
whiplash,AG,1,2,0.5
whiplash,AH,1,2,0.5
whiplash,AK,0,1,0
whiplash,AM,0,2,0
whiplash,AR,0,1,0
whiplash,AW,1,1,1
whiplash,BG,9,13,0.692307692
whiplash,BK,4,5,0.8
whiplash,BM,0,1,0
whiplash,BW,1,3,0.333333333
whiplash,GK,1,3,0.333333333
whiplash,GW,2,3,0.666666667
whiplash,HR,0,1,0
whiplash,KR,1,1,1
whiplash,RW,0,1,0
yasmin_f,AK,6,12,0.5
yasmin_f,AR,0,1,0
